ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-10.14624710347665	-10.14624710347665	-10.14624710347665	-10.14624710347665
1	7.096099101531124	-9.819054296217923	-1.3614775973433986	7.096099101531124
2	26.546075088779368	9.630921691030323	18.088498389904846	26.546075088779368
3	25.23538570951904	5.577256703936925	15.406321206727984	25.23538570951904
4	40.7883488237899	8.431419247025033	24.609884035407468	40.7883488237899
5	51.78966038339295	8.431419247025033	30.110539815208988	51.78966038339295
6	51.78966038339295	8.431419247025033	30.110539815208988	51.78966038339295
7	51.332216698425086	8.431419247025033	31.896111668736626	51.332216698425086
8	51.332216698425086	8.431419247025033	31.896111668736626	51.332216698425086
9	51.332216698425086	8.431419247025033	31.896111668736626	51.332216698425086
10	51.332216698425086	8.431419247025033	31.896111668736626	51.332216698425086
