ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-17.33257331218129	-17.33257331218129	-17.33257331218129	-17.33257331218129
1	-4.08587673640164	-16.777722424052815	-10.431799580227226	-4.08587673640164
2	13.180985619252436	0.4891399316012624	6.835062775426849	13.180985619252436
3	8.605968951249535	-13.104103534300231	-2.249067291525349	8.605968951249535
4	23.928022976006343	-4.276204091304968	9.825909442350687	23.928022976006343
5	35.37950001148819	4.4375358451307765	19.908517928309482	35.37950001148819
6	35.37950001148819	4.4375358451307765	19.908517928309482	35.37950001148819
7	35.37950001148819	4.4375358451307765	20.990877025269743	35.37950001148819
8	35.37950001148819	4.4375358451307765	20.990877025269743	35.37950001148819
9	35.37950001148819	4.4375358451307765	20.990877025269743	35.37950001148819
10	35.37950001148819	4.4375358451307765	20.990877025269743	35.37950001148819
