person;executed_score;first_act_x;first_act_y;first_act_type
1;59.72450502730963;-25000.0;0.0;h
2;84.93704952324312;-25000.0;0.0;h
3;69.83514451360632;-25000.0;0.0;h
4;86.27750309538575;-25000.0;0.0;h
5;117.2330301240552;-25000.0;0.0;h
6;66.01347980441243;-25000.0;0.0;h
7;66.01347980441243;-25000.0;0.0;h
8;66.01347980441243;-25000.0;0.0;h
9;66.01347980441243;-25000.0;0.0;h
10;66.01347980441243;-25000.0;0.0;h
