ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	73.27385399941764	73.27385399941764	73.27385399941764	73.27385399941764
1	73.27385399941764	73.27385399941764	73.27385399941764	73.27385399941764
2	73.59100120577111	73.59100120577111	73.59100120577111	73.59100120577111
3	73.27385399941764	73.27385399941764	73.27385399941764	73.27385399941764
4	74.1731555203212	73.58710691445674	73.88013121738898	74.1731555203212
5	74.80746313056622	73.58710691445674	74.19728502251148	74.80746313056622
6	74.80746313056622	73.58710691445674	74.19728502251148	74.80746313056622
7	74.80746313056622	73.58710691445674	74.29495979015556	74.80746313056622
8	74.80746313056622	73.58710691445674	74.29495979015556	74.80746313056622
9	74.80746313056622	73.58710691445674	74.29495979015556	74.80746313056622
10	74.80746313056622	73.58710691445674	74.29495979015556	74.80746313056622
