ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-17.33257331218129	-17.33257331218129	-17.33257331218129	-17.33257331218129
1	-4.08587673640164	-16.777722424052815	-10.431799580227226	-4.08587673640164
2	12.697606758630979	0.4891399316012624	6.59337334511612	12.697606758630979
3	8.605968951249535	-13.104103534300231	-2.249067291525349	8.605968951249535
4	23.419065385214736	-4.276204091304968	9.571430646954884	23.419065385214736
5	34.87054242069659	4.4375358451307765	19.654039132913677	34.87054242069659
6	34.87054242069659	4.4375358451307765	19.654039132913677	34.87054242069659
7	33.38662783479492	4.4375358451307765	19.994440936923105	33.38662783479492
8	34.87054242069659	4.4375358451307765	20.736398229873938	34.87054242069659
9	34.87054242069659	4.4375358451307765	20.736398229873938	34.87054242069659
10	34.87054242069659	4.4375358451307765	20.736398229873938	34.87054242069659
