ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	65.92186823840868	65.92186823840868	65.92186823840868	65.92186823840868
1	65.92186823840868	65.92186823840868	65.92186823840868	65.92186823840868
2	65.92186823840868	65.92186823840868	65.92186823840868	65.92186823840868
3	65.92186823840868	65.92186823840868	65.92186823840868	65.92186823840868
4	65.92186823840868	65.92186823840868	65.92186823840868	65.92186823840868
5	65.92186823840868	65.92186823840868	65.92186823840868	65.92186823840868
6	65.92186823840868	65.92186823840868	65.92186823840868	65.92186823840868
7	65.92186823840868	65.92186823840868	65.92186823840868	65.92186823840868
8	65.92186823840868	65.92186823840868	65.92186823840868	65.92186823840868
9	65.92186823840868	65.92186823840868	65.92186823840868	65.92186823840868
10	65.92186823840868	65.92186823840868	65.92186823840868	65.92186823840868
