ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	0.4512204493474748	0.4512204493474748	0.4512204493474748	0.4512204493474748
1	0.4512204493474748	0.4512204493474748	0.4512204493474748	0.4512204493474748
2	0.4512204493474748	0.4512204493474748	0.4512204493474748	0.4512204493474748
3	0.4512204493474748	0.4512204493474748	0.4512204493474748	0.4512204493474748
4	0.4512204493474748	0.4512204493474748	0.4512204493474748	0.4512204493474748
5	0.4512204493474748	0.4512204493474748	0.4512204493474748	0.4512204493474748
6	0.4512204493474748	0.4512204493474748	0.4512204493474748	0.4512204493474748
7	0.4512204493474748	0.4512204493474748	0.4512204493474748	0.4512204493474748
8	0.4512204493474748	0.4512204493474748	0.4512204493474748	0.4512204493474748
9	0.4512204493474748	0.4512204493474748	0.4512204493474748	0.4512204493474748
10	0.4512204493474748	0.4512204493474748	0.4512204493474748	0.4512204493474748
